;LONDON HEATHROW airport;ISTANBUL/ISTANBUL HAVALIMANI airport;PARIS-CHARLES DE GAULLE airport;AMSTERDAM/SCHIPHOL airport;ADOLFO SUAREZ MADRID-BARAJAS airport;FRANKFURT/MAIN airport;BARCELONA/EL PRAT airport;LONDON GATWICK airport;ROMA/FIUMICINO airport;MUENCHEN airport;MOSCOW/SHEREMETYEVO airport;LISBOA airport;DUBLIN airport;PARIS-ORLY airport;PALMA DE MALLORCA airport;WIEN-SCHWECHAT airport;ZURICH airport;ATHINAI/ELEFTHERIOS VENIZELOS airport;MANCHESTER airport;LONDON STANSTED airport
LONDON HEATHROW airport;0;0;9271;13084;9059;12233;5862;0;6512;10293;4161;6646;13783;0;874;6030;9065;4813;4357;0
ISTANBUL/ISTANBUL HAVALIMANI airport;3914;0;4358;3183;1546;4029;1502;1129;2085;2161;2638;1052;1036;0;0;2109;1966;3730;1062;488
PARIS-CHARLES DE GAULLE airport;8190;5272;0;7544;5985;7267;7167;2826;6544;6467;0;4323;5195;0;0;5501;5089;4566;4801;0
AMSTERDAM/SCHIPHOL airport;10851;3569;7535;0;6135;7193;8896;5892;4940;7200;0;6613;8836;0;2274;5328;6618;3035;6767;1255
ADOLFO SUAREZ MADRID-BARAJAS airport;9062;0;7174;6543;0;7536;16308;6755;8089;6419;1893;11953;3700;8165;13306;3614;6285;2243;1130;2985
FRANKFURT/MAIN airport;10240;4529;7264;7258;5990;0;4801;967;3766;8147;0;4398;3798;0;4679;8072;6038;3159;2616;0
BARCELONA/EL PRAT airport;5863;0;8467;8379;16308;6084;0;10078;8847;5835;3219;6959;3831;6862;15030;4432;4088;2194;3103;3100
LONDON GATWICK airport;0;1450;3888;7374;6748;0;10075;0;4834;1776;0;2533;8827;0;4586;2041;1110;1225;0;0
ROMA/FIUMICINO airport;6515;2128;8813;6655;8107;5305;8856;4839;0;5197;4971;3257;1348;4327;0;3865;3524;4091;625;0
MUENCHEN airport;8834;2759;6467;7255;5776;8147;4687;1101;3879;0;0;3496;2489;1247;4769;4217;4070;4201;2128;862
MOSCOW/SHEREMETYEVO airport;4161;2638;0;0;1893;0;3219;0;4971;0;0;731;0;0;0;0;0;1657;0;0
LISBOA airport;6645;0;4068;5936;11958;5607;6961;2526;3256;3412;731;0;3215;8222;0;1830;3400;648;2240;2642
DUBLIN airport;13789;1037;5870;9121;3712;5538;3822;8836;1348;4322;0;3204;0;577;1206;1493;2099;619;7655;5504
PARIS-ORLY airport;0;562;0;0;8701;0;5424;1432;6248;1251;0;9533;1285;0;2745;0;0;1387;533;0
PALMA DE MALLORCA airport;876;0;1517;1791;13306;6243;15030;4585;0;5636;0;0;1217;947;0;3195;3371;0;4150;2943
WIEN-SCHWECHAT airport;5510;2886;5495;5328;2911;7986;4026;1327;3421;4069;0;1486;1182;0;3306;0;5191;2768;812;1561
ZURICH airport;8450;2549;5083;6620;4529;5901;4254;1220;3544;3960;0;4179;2490;0;4617;5191;0;3063;1403;0
ATHINAI/ELEFTHERIOS VENIZELOS airport;4815;2562;4587;2989;2242;3825;2199;1240;4099;3270;1657;648;630;1299;0;2224;3025;0;698;1161
MANCHESTER airport;4357;970;5917;8403;1093;3870;3031;0;616;2680;0;2237;7660;0;4038;936;1450;679;0;0
LONDON STANSTED airport;0;673;0;2484;2918;1461;3075;0;0;862;0;2629;5504;0;2914;1408;0;1119;0;0
