Geo Point;Name;Name (en);Name (fr);IATA code;ICAO code;Wikipedia id;Wikidata id;Website;Phone;Operator;Description;Edit in OSM;Source;other_tags;Country;Country code
51.1075552, 16.8756697;Port Lotniczy Wrocław;Wroclaw Airport;Aéroport de Wrocław-Nicolas Copernic;WRO;EPWR;en:Copernicus Airport Wrocław;Q1107152;;;Port Lotniczy Wrocław SA;;https://www.openstreetmap.org/edit?node=408720211;http://airport.wroclaw.pl/biznes/dane-techniczne/;"{""aerodrome"": ""international"", ""aeroway"": ""aerodrome"", ""alt_name"": ""Wroc\u0142aw-Strachowice"", ""closest_town"": ""Wroc\u0142aw"", ""ele"": ""123"", ""int_name"": ""Copernicus Airport Wroc\u0142aw"", ""name:cs"": ""Leti\u0161t\u011b Mikul\u00e1\u0161e Kopern\u00edka Vratislav"", ""name:de"": ""Nikolaus-Kopernikus-Flughafen Breslau"", ""name:es"": ""Aeropuerto de Breslavia-Cop\u00e9rnico"", ""name:nl"": ""Luchthaven Wroc\u0142aw-Copernicus"", ""name:pl"": ""Port Lotniczy Wroc\u0142aw"", ""name:ru"": ""\u0412\u0440\u043e\u0446\u043b\u0430\u0432\u0441\u043a\u0438\u0439 \u0430\u044d\u0440\u043e\u043f\u043e\u0440\u0442 \u0438\u043c\u0435\u043d\u0438 \u041a\u043e\u043f\u0435\u0440\u043d\u0438\u043a\u0430"", ""name:uk"": ""\u0410\u0435\u0440\u043e\u043f\u043e\u0440\u0442 \u0412\u0440\u043e\u0446\u043b\u0430\u0432 \u0456\u043c\u0435\u043d\u0456 \u041c\u0438\u043a\u043e\u043b\u0430\u044f \u041a\u043e\u043f\u0435\u0440\u043d\u0438\u043a\u0430"", ""note:alt_name"": ""W Rejestrze Lotnisk Cywilnych figuruje jako Wroc\u0142aw-Strachowice"", ""official_name"": ""Port Lotniczy Wroc\u0142aw im. Miko\u0142aja Kopernika"", ""ref"": ""WRO"", ""short_name"": ""Lotnisko Wroc\u0142aw"", ""short_name:cs"": ""Leti\u0161t\u011b Vratislav""}";Poland;PL
-33.9681057, -58.325992;"Aeropuerto Internacional de Carmelo ""Zagarzazú""";;;;SUCM;;Q25037271;https://aeropuertodecarrasco.com.uy/;;;;https://www.openstreetmap.org/edit?node=1042083891;;"{""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""contact:facebook"": ""https://www.facebook.com/AeropuertosUruguay/"", ""contact:instagram"": ""https://www.instagram.com/aeropuertosuruguay/"", ""contact:linkedin"": ""https://uy.linkedin.com/company/aeropuertos-uruguay"", ""contact:twitter"": ""https://twitter.com/AeropuertosUY"", ""contact:youtube"": ""https://www.youtube.com/user/AeropuertodeCarrasco"", ""operator:type"": ""public"", ""website:en"": ""https://aeropuertodecarrasco.com.uy/en/"", ""website:es"": ""https://aeropuertodecarrasco.com.uy/""}";Uruguay;UY
-12.1878723, 96.8310274;Cocos (Keeling) Islands Airport;;;CCK;YPCC;en:Cocos (Keeling) Islands Airport;Q1105469;;;Toll Remote Logistics;;https://www.openstreetmap.org/edit?node=1042097400;ourairports.com;"{""aerodrome"": ""international"", ""aerodrome:type"": ""public"", ""aeroway"": ""aerodrome"", ""ele"": ""3"", ""passengers"": ""16000"", ""source:passengers"": ""Wikipedia""}";;
39.1911498, -88.6740162;Shumway International Airport;;;;;;Q35302039;;;;;https://www.openstreetmap.org/edit?node=10988310782;;"{""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""contact:facebook"": ""https://www.facebook.com/shumwayinnernationalairport/"", ""faa"": ""IL05""}";United States of America;US
53.0971349, 17.9787716;Port Lotniczy Bydgoszcz-Szwederowo;Airport Bydgoszcz - Szwederowo;;BZG;EPBY;pl:Port lotniczy Bydgoszcz-Szwederowo;Q1407275;;;Port Lotniczy Bydgoszcz S.A. im. Ignacego Jana Paderewskiego;;https://www.openstreetmap.org/edit?node=5004330;wikipedia;"{""aerodrome"": ""international"", ""aerodrome:type"": ""public"", ""aeroway"": ""aerodrome"", ""alt_name:en"": ""Bydgoszcz Ignacy Jan Paderewski Airport"", ""alt_name:pl"": ""Port lotniczy im. Ignacego Jana Paderewskiego Bydgoszcz-Szwederowo"", ""ele"": ""72"", ""name:ru"": ""\u041c\u0435\u0436\u0434\u0443\u043d\u0430\u0440\u043e\u0434\u043d\u044b\u0439 \u0430\u044d\u0440\u043e\u043f\u043e\u0440\u0442 \u0411\u044b\u0434\u0433\u043e\u0449\u0430 \u0438\u043c\u0435\u043d\u0438 \u0418\u0433\u043d\u0430\u0442\u0438\u044f \u042f\u043d\u0430 \u041f\u0430\u0434\u0435\u0440\u0435\u0432\u0441\u043a\u043e\u0433\u043e"", ""name:uk"": ""\u041c\u0456\u0436\u043d\u0430\u0440\u043e\u0434\u043d\u0438\u0439 \u0430\u0435\u0440\u043e\u043f\u043e\u0440\u0442 \u0411\u0438\u0434\u0433\u043e\u0449\u0430 \u0456\u043c\u0435\u043d\u0456 \u0406\u0433\u043d\u0430\u0446\u0456\u044f \u042f\u043d\u0430 \u041f\u0430\u0434\u0435\u0440\u0435\u0432\u0441\u044c\u043a\u043e\u0433\u043e"", ""source_ref"": ""landsat""}";Poland;PL
48.4478772, -4.4186671;Aéroport de Brest-Bretagne;;;BES;LFRB;fr:Aéroport Brest Bretagne;Q1191525;https://www.brest.aeroport.bzh/accueil;;SAS Aéroport de Bretagne ouest;;https://www.openstreetmap.org/edit?node=5369273;;"{""aerodrome"": ""international"", ""aeroway"": ""aerodrome"", ""name:br"": ""Aerborzh Brest-Breizh"", ""ref"": ""LFRB""}";France;FR
50.9120343, 5.7704958;Maastricht Aachen Airport;Maastricht Aachen Airport;;MST;EHBK;nl:Maastricht Aachen Airport;Q698063;https://www.maa.nl/;;;;https://www.openstreetmap.org/edit?node=6344354;wikipedia;"{""aerodrome"": ""international"", ""aerodrome:type"": ""public"", ""aeroway"": ""aerodrome"", ""closest_town"": ""Maastricht"", ""ele"": ""114""}";Netherlands;NL
51.1890058, 4.4631377;Internationale Luchthaven Antwerpen;Antwerp International Airport;;ANR;EBAW;nl:Internationale Luchthaven Antwerpen;Q17480;https://www.antwerp-airport.be;;Flemish department of Mobility and Public Works;;https://www.openstreetmap.org/edit?node=9550802;;"{""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""ele"": ""12"", ""name:nl"": ""Internationale Luchthaven Antwerpen"", ""owner"": ""Flemish Region"", ""type"": ""civil""}";Belgium;BE
52.4614577, 9.6801216;Flughafen Hannover-Langenhagen;Hannover Airport;Aéroport international de Hanovre;HAJ;EDDV;de:Flughafen Hannover-Langenhagen;Q170169;https://www.hannover-airport.de/informationen-fuer-fluggaeste-und-besucher/;;;;https://www.openstreetmap.org/edit?node=10367649;;"{""TMC:cid_58:tabcd_1:Class"": ""Area"", ""TMC:cid_58:tabcd_1:LCLversion"": ""8.00"", ""TMC:cid_58:tabcd_1:LocationCode"": ""26328"", ""aerodrome"": ""international"", ""aerodrome:type"": ""public"", ""aeroway"": ""aerodrome"", ""alt_name"": ""Hannover Airport"", ""barrier"": ""fence"", ""cargo_volume"": ""17493"", ""ele"": ""55"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""customers"", ""name:ar"": ""\u0645\u0637\u0627\u0631 \u0647\u0627\u0646\u0648\u0641\u0631 \u0644\u0627\u0646\u063a\u0646\u0647\u0627\u063a\u0646"", ""name:de"": ""Flughafen Hannover-Langenhagen"", ""name:es"": ""Aeropuerto de Han\u00f3ver"", ""name:fa"": ""\u0641\u0631\u0648\u062f\u06af\u0627\u0647 \u0647\u0627\u0646\u0648\u0641\u0631-\u0644\u0627\u0646\u06af\u0646\u0647\u0627\u06af\u0646"", ""name:fi"": ""Hannoverin lentoasema"", ""name:hr"": ""Zra\u010dna luka Hannover-Langenhagen"", ""name:it"": ""Aeroporto di Hannover-Langenhagen"", ""name:ja"": ""\u30cf\u30ce\u30fc\u30d5\u30a1\u30fc\u7a7a\u6e2f"", ""name:mk"": ""\u0410\u0435\u0440\u043e\u0434\u0440\u043e\u043c \u0425\u0430\u043d\u043e\u0432\u0435\u0440"", ""name:ms"": ""Lapangan Terbang Hannover"", ""name:nl"": ""Luchthaven Hannover-Langenhagen"", ""name:pl"": ""Port lotniczy Hanower"", ""name:sh"": ""Aerodrom Hannover-Langenhagen"", ""name:sv"": ""Hannover-Langenhagens flygplats"", ""name:tg"": ""\u0424\u0443\u0440\u0443\u0434\u0433\u043e\u04b3\u0438 \u04b3\u043e\u043d\u0443\u0444\u0440-\u043b\u043e\u043d\u0433\u043d\u04b3\u043e\u0433\u043d"", ""name:vi"": ""S\u00e2n bay Hannover"", ""name:zh"": ""\u6c49\u8bfa\u5a01-\u6717\u6839\u54c8\u6839\u673a\u573a"", ""passengers"": ""5300000"", ""ref"": ""HAJ"", ""start_date"": ""1952"", ""wikimedia_commons"": ""Category:Hannover Airport""}";Germany;DE
51.6144732, 8.6174807;Paderborn/Lippstadt;Airport Paderborn/Lippstadt;;PAD;EDLP;de:Flughafen Paderborn/Lippstadt;Q685536;https://www.airport-pad.com/;;Flughafen Paderborn/Lippstadt GmbH;;https://www.openstreetmap.org/edit?node=19752503;;"{""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""alt_name"": ""Flughafen Paderborn"", ""cargo_volume"": ""304"", ""ele"": ""212"", ""official_name"": ""Paderborn-Lippstadt Airport"", ""passengers"": ""703300"", ""ref"": ""PAD"", ""wheelchair"": ""yes""}";Germany;DE
